instance,time,objective
tree_lg_1_sol,0.138455,7
tree_lg_2_sol,0.101064,7
tree_lg_3_sol,0.141058,7
tree_lg_4_sol,0.181095,7
tree_lg_5_sol,0.213879,8
tree_lg_6_sol,0.250524,8
tree_lg_7_sol,0.092057,7
tree_lg_8_sol,0.430371,8
tree_lg_9_sol,0.132727,7
tree_lg_10_sol,0.548208,8
tree_lg_11_sol,0.149927,7
tree_lg_12_sol,0.116036,7
tree_lg_13_sol,0.128258,7
tree_lg_14_sol,0.181133,7
tree_lg_15_sol,0.15598,7
tree_lg_16_sol,0.324911,8
tree_lg_17_sol,0.201995,8
tree_lg_18_sol,0.220249,8
tree_lg_19_sol,0.133802,7
tree_lg_20_sol,0.122862,7
tree_lg_21_sol,0.522354,7
tree_lg_22_sol,0.224549,7
tree_lg_23_sol,0.502402,8
tree_lg_24_sol,0.212806,8
tree_lg_25_sol,0.17387,7
voronoi_medium_lg_1_sol,27.563227,8
voronoi_medium_lg_2_sol,0.608682,6
voronoi_medium_lg_3_sol,19.400587,9
voronoi_medium_lg_4_sol,33.980684,8
voronoi_medium_lg_5_sol,10.060389,8
voronoi_medium_lg_6_sol,336.508207,10
voronoi_medium_lg_7_sol,22.200163,8
voronoi_medium_lg_8_sol,66.420463,11
voronoi_medium_lg_9_sol,261.419276,11
voronoi_medium_lg_10_sol,24.177754,9
voronoi_medium_lg_11_sol,33.728887,9
voronoi_medium_lg_12_sol,144.770553,11
voronoi_medium_lg_13_sol,255.898571,12
voronoi_medium_lg_14_sol,9.622461,8
voronoi_medium_lg_15_sol,125.238318,11
voronoi_medium_lg_16_sol,18.073391,9
voronoi_medium_lg_17_sol,24.322248,9
voronoi_medium_lg_18_sol,55.648417,10
voronoi_medium_lg_19_sol,715.94482,10
voronoi_medium_lg_20_sol,33.25626,9
voronoi_medium_lg_21_sol,1777.649265,11
voronoi_medium_lg_22_sol,167.25496,11
voronoi_medium_lg_23_sol,54.016897,9
voronoi_medium_lg_24_sol,196.384305,11
voronoi_medium_lg_25_sol,650.656984,11
voronoi_medium_lg_26_sol,7271.454329,13
voronoi_medium_lg_27_sol,24.965594,10
voronoi_medium_lg_28_sol,152.707043,10
voronoi_medium_lg_29_sol,6399.346365,12
voronoi_medium_lg_30_sol,6717.12641,12
voronoi_medium_lg_31_sol,7213.080797,13
voronoi_medium_lg_32_sol,7384.684665,13
voronoi_medium_lg_33_sol,6777.017917,11
voronoi_medium_lg_1_sol,27.563227,8
voronoi_medium_lg_2_sol,0.608682,6
voronoi_medium_lg_3_sol,19.400587,9
voronoi_medium_lg_4_sol,33.980684,8
voronoi_medium_lg_5_sol,10.060389,8
voronoi_medium_lg_6_sol,336.508207,10
voronoi_medium_lg_7_sol,22.200163,8
voronoi_medium_lg_8_sol,66.420463,11
voronoi_medium_lg_9_sol,261.419276,11
voronoi_medium_lg_10_sol,24.177754,9
voronoi_medium_lg_11_sol,33.728887,9
voronoi_medium_lg_12_sol,144.770553,11
voronoi_medium_lg_13_sol,255.898571,12
voronoi_medium_lg_14_sol,9.622461,8
voronoi_medium_lg_15_sol,125.238318,11
voronoi_medium_lg_16_sol,18.073391,9
voronoi_medium_lg_17_sol,24.322248,9
